Course_attendance,Course_content,Course_level,Course_name,
12643,sed和awk是很好的Linux文本处理工具，帮助你提高效率，成为Linux达人?初级,实例妙解Sed和Awk的秘寿,,
12674,Ruby基础入门教程，让十一年老兵带你走进ruby入门，了解入门知诿入门,Ruby语言快速入闿,,
11728,PHP开发中常用功能，日期时间函数库的使用，干货满满的教稿入门,PHP进阶篿日期时间函数,,
,,,,
34504,在前端的开发和学习过程常用工具，定位前端常见BUG，提升解决问题能势初级,浏览器开发者工具使用技巿,,
9012,apache mina框架如何在android中使用，并能通过mina与服务器进行通信,初级,长连接利器—网络框架解析之mina篿,
53815,Java常用框架整合案例，通过本案例的学习还可以体会项目的实现流程,中级,使用SpringMVC+Spring+Hibernate开发人员信息管理功胿,
12002,使用JS语言为主的前端开发技术实现数独游房中级,从JS到TS开发数独游戏（JS版）,,
,,,,
2349,Amazon、Musically?Red Hat、上海数慧等架构设计技术干货分享?中级,AWS云计算—混合架枿DevOps深度实践,,
,,,,
15160,RxJava与RxAndroid入门,初级,RxJava与RxAndroid基础入门,
,,,,
6800,谷歌大神带你重新理解依赖注入，示范Guice和Spring Boot如何协作,高级,使用Google Guice实现依赖注入,
,,,,
9885,即使没有设计基础的人也能熟练使用sketch绘制图标,入门,Sketch基础入门,
,,,,
3145,轻松了解FTP上传机制＿初级,iOS之FTP上传,,
,,,,
4660,简单轻松入门渗透测诿入门,web渗透测试入闿,,
57031,充分利用intellij idea各类技巧来提高你的开发效玿中级,IntelliJ IDEA神器使用技巿,,
2977,物联网设备、云端计算与存储，以及信息洞察力是物联网的三大支柱?中级,AWS物联网前（IoT）沿技术分亿,,
5197,基于iOS打开数字图像处理的“大门?高级,iOS-特效相机(上集),,
,,,,
4882,分享腾讯游戏安全测试流程方法，游戏安全测试知识干贿初级,WeTest移动测试系列沙龙-手游安全测试,,
,,,,
34004,一个案例学会如何写好测试用例，如何管理测试用例,初级,如何写好测试用例,
,,,,
32345,本课程旨在让同学们了解Spark基础知识，掌握Spark基础开叿,初级,Spark从零开姿,
52120,人工智能时代，你准备好成为抓住机遇的那百分之二吗?初级,机器学习-实现简单神经网绿,,
8749,使用第三方讯飞语音实现中英文语音词典的功胿初级,Android语音词典,,
,,,,
29966,从Web安全XSS的定义开始讲起，从原理到实战全方位理解XSS安全,中级,Web安全-XSS,
,,,,
7347,ios基础教程介绍多线程的四种实现技术方案，搞定多线程，让程序高效执衿初级,iOS基础之搞定多线程,,
,,,,
27992,PHP视频教程从PHP的角度深度解析HTTP协议知识，例如post、和get请求,中级,PHP中的HTTP协议,
,,,,
10635,GreenDao对象和数据库之间的媒介，本教程将从零开始介绍GreenDao,初级,Android框架-GreenDao,
,,,,
12570,PHP进阶教程，本课程主要讲解php中字符串及常用字符串函数使用,初级,PHP进阶篿字符串操使,
7449,在项目中，灵活使用Fragment做视图组装，开销比Activity更小?初级,Fragment应用丿,,
6465,带你了解基于AWS的大数据存储、实时计算与分析，以及机器学习相关技术?中级,AWS云计算—AWS云上的大数据分析,,
,,,,
6548,最炙手可热的前沿技术专颿-人工智能技术专场?中级,AWS亿深度学习&机器学习的AI业务应用,,
,,,,
53784,Java权限管理系列教程之权限管理系统DAO层和服务层实玿中级,Java实现权限管理（上＿,,
88395,JSON和GSON的应用，JSON快速入门视频教程，赶快加入吿初级,JSON快速入门（Java版）,,
,,,,
45204,对接口测试说so easy＿入门,接口测试基础之入门篇,,
,,,,
4665,Socket网络编程入门,入门,python运维-Socket网络编程,
,,,,
3944,带您初窥个性化推荐算法落地实战的门徿中级,个性化推荐算法实战入门必修诿,,
1883,初识手机深度学习，掌握更高级研发技能?高级,iOS手机深度学习,,
,,,,
13536,Android互动直播APP开发入门，值得你学习的直播知识＿中级,Android互动直播APP开发入闿,,
31812,PHP后端开发者如何迎上移动互联网发展热潮＿中级,Restful API实战,,
,,,,
67612,?小时学习Spring Boot》之进阶教程，针对Web方面的相关技巿中级,Spring Boot进阶之Web进阶,,
,,,,
34914,redis的入门与应用教程，Redis是php项目中使用的主要缓存服务,中级,redis的入门与应用,
,,,,
49608,Angular2一小时快速入门教程，帮助大家快速上手Angular2开叿中级,Angular2一小时快速入闿,,
14132,内存优化的原理，实战并有代码演示,中级,APP性能优化之内存优匿,
7012,本教程手把手带你打造酷炫对账单效果，提升Android开发专业技胿初级,Android饼图账单案例开叿,,
48606,本CSS教程带你深入讲解CSS的margin属性，解决你多年困惿中级,CSS深入理解之margin,,
,,,,
26434,微信扫描，值得你拥有，本教程主要讲解二维码接口的实玿高级,PHP微信公众平台开发高级篇—生成二维码接口,,
,,,,
25376,JSP自定义标签应用，Java Web开发中一个重要的知识炿初级,JSP自定义标筿,,
12554,Swift泛型、扩展、面向协议编程等，大家真正玩儿转swift,初级,玩儿转Swift 2.0（第四季＿,
10430,音效对游戏氛围非常重要，插上音效的翅膀，让游戏活起板初级,Unity 3D音频系统,,
,,,,
